officer_id,crid,gender,race,race_edit,star,birth_year
7630,1066489,M,WHITE,White,1905,
8594,1066529,M,BLACK,Black,6616,
2265,1066553,M,SPANISH (DO NOT USE),Hispanic,17869,
7074,1066599,M,BLACK,Black,7506,
3557,1066614,M,BLACK,Black,17616,
5292,1066614,M,BLACK,Black,16402,
5320,1066614,M,WHITE,White,9857,
4032,1066646,M,WHITE,White,13712,
9263,1066646,F,WHITE,White,3389,
9182,1066655,M,WHITE,White,5598,
4991,1066656,M,BLACK,Black,1467,
2302,1066673,M,BLACK,Black,10309,
9067,1066673,F,BLACK,Black,7267,
9345,1066673,F,BLACK,Black,8950,
9694,1066673,F,WHITE,White,12074,
9456,1066681,M,SPANISH (DO NOT USE),Hispanic,7643,
